TableName,ColumnName,DomainName,Description,DataType,
LAB_METHODS,15E1_H,,"Exchangeable H - by compulsive exchange, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E1_K,,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E1_MG,,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E1_MN,,,FLOAT,
LAB_METHODS,15E1_NA,,"Exchangeable bases, CEC and AEC by compulsive exchange, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E2_AEC,,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E2_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E2_CEC,,"CEC by compulsive exchange, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E2_K,,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E2_MG,,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E2_NA,,"Exchangeable bases, CEC and AEC by compulsive exchange, pretreatment for soluble salts",FLOAT,
LAB_METHODS,15E3_AEC,,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15E3_CA,,"Exchangeable bases (Ca2+,Mg2+,Na+,K+) by compulsive exchange, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15E3_CEC,,"CEC by compulsive exchange, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15E3_K,,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15E3_MG,,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15E3_NA,,"Exchangeable bases, CEC and AEC by compulsive exchange, adjusted for soluble sodium",FLOAT,
LAB_METHODS,15F1_CA,,"Exchangeable bases by 0.01M silver-thiourea (AgTU)+, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15F1_CEC,,"Exchangeable bases by 0.01m (AgTU)+, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15F1_K,,"Exchangeable bases by 0.01m (AgTU)+, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15F1_MG,,"Exchangeable bases by 0.01m (AgTU)+, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15F1_NA,,"Exchangeable bases by 0.01m (AgTU)+, no pretreatment for soluble salts",FLOAT,
LAB_METHODS,15F2,,Exchangeable aluminium by 0.01m (AgTU)+,FLOAT,
LAB_METHODS,15F2_AL,,Exchangeable Al (%) - Silver Thiorea,FLOAT,
LAB_METHODS,15F3,,CEC by 0.01M silver-thiourea (AgTU)+,FLOAT,
LAB_METHODS,15F4,,Exchangeable aluminium by 1M ammonium acetate (pH5.8). Abdullah and Riley (1966).,FLOAT,
LAB_METHODS,15G_C,,Exchange acidity (hydrogen and aluminium) - meq per 100g of soil - By 1M KCl exch. acidity by titration to pH 8.4,FLOAT,
LAB_METHODS,15G_C_AL1,,Exchangeable aluminium - meq per 100g of soil - Aluminium By difference of C and A or B,FLOAT,
LAB_METHODS,15G_C_AL2,,Exchangeable aluminium - meq per 100g of soil - Aluminium By KCl extraction and detremination By AAS,FLOAT,
LAB_METHODS,15G_C_H1,,Exchangeable hydrogen - meq per 100g of soil - Hydrogen By back titration of A or B,FLOAT,
LAB_METHODS,15G_H,,Hydrogen Cation - meq per 100g of soil - 1M KCl Exch. acidity By titration to pH 8.4,FLOAT,
LAB_METHODS,15G1,,Exchange acidity (hydrogen and aluminium) by 1M potassium chloride,FLOAT,
LAB_METHODS,15G1_Acid,,Exchange acidity (hydrogen and aluminium) by 1M potassium chloride - Exchange Acidity,FLOAT,
LAB_METHODS,15G1_AL,,Aluminium Cation - meq per 100g of soil - 1M KCl Exch. Acidity By titration to pH 8.0,FLOAT,
LAB_METHODS,15G1_H,,Hydrogen Cation - meq per 100g of soil - 1M KCl Exch. Acidity By titration to pH 8.0,FLOAT,
LAB_METHODS,15G2,,Exch. Al saturation,FLOAT,
LAB_METHODS,15G2_Al_MQ,,Exchangeable aluminium,FLOAT,
LAB_METHODS,15H1,,Exchange acidity by TEA,FLOAT,
LAB_METHODS,15I1,,CEC measurement - distillation of ammonium ions,FLOAT,
LAB_METHODS,15I2,,CEC measurement - automated determination of ammonium ions,FLOAT,
LAB_METHODS,15I3,,CEC measurement - automated determination of ammonium and chloride ions,FLOAT,
LAB_METHODS,15I4,,CEC measurement - titration of ammonium and chloride ions,FLOAT,
LAB_METHODS,15J_BASES,,Sum of Bases,FLOAT,
LAB_METHODS,15J_H,,Sum of Ex. cations + Ex. acidity - Sum of basic exch. cations and exch. (Hydrogen),FLOAT,
LAB_METHODS,15J1,,Effective CEC,FLOAT,
LAB_METHODS,15J2_MQ02,,Effective cation exchange capacity,FLOAT,
LAB_METHODS,15K1,,CEC - pH 8.2,FLOAT,
LAB_METHODS,15L1,,Base saturation percentage (BSP),FLOAT,
LAB_METHODS,15L1_a,,,FLOAT,
LAB_METHODS,15M1,,Cation ratio,FLOAT,
LAB_METHODS,15M1_Ca/CE,,Calcium to cation exchange capacity ratio,FLOAT,
LAB_METHODS,15M1_Ca/Mg,,Cation ratio Ca/Mg,FLOAT,
LAB_METHODS,15M1_K/CEC,,Potassium to cation exchange capacity ratio,FLOAT,
LAB_METHODS,15M1_Mg/Ca,,Magnesium to calcium ratio,FLOAT,
LAB_METHODS,15M1_Mg/CE,,Magnesium to cation exchange capacity ratio,FLOAT,
LAB_METHODS,15M1_Mg/K,,Cation ratio Mg/K,FLOAT,
LAB_METHODS,15M1_Na/K,,Cation ratio Na/K,FLOAT,
LAB_METHODS,15N1,,Exchangeable sodium percentage (ESP),FLOAT,
LAB_METHODS,15N1_a,,,FLOAT,
LAB_METHODS,15N1_b,,,FLOAT,
LAB_METHODS,15O1,,Percenatge aluminium saturation,FLOAT,
LAB_METHODS,15P1,,CEC/Clay ratio,FLOAT,
LAB_METHODS,15Z1,,H,FLOAT,
LAB_METHODS,15Z1_CEC/c,,Cation exchange capacity:clay,FLOAT,
LAB_METHODS,16A1,,Calculated lime rate - from exchangeable aluminium,FLOAT,
LAB_METHODS,16B1,,Calculated lime rate - Cregan,FLOAT,
LAB_METHODS,16C1,,Lime requirement - Mehlich single buffer,FLOAT,
LAB_METHODS,16C1_5.5,,Lime requirement at pH 5.5,FLOAT,
LAB_METHODS,16C1_6.0,,Lime requirement at pH 6.0,FLOAT,
LAB_METHODS,16C1_6.5,,Lime requirement at pH 6.5,FLOAT,
LAB_METHODS,16D1,,Lime requirement - Dunn titration curves,FLOAT,
LAB_METHODS,17A_HF+,,Total element - K (%) - HF/HCl04 Digest,FLOAT,
LAB_METHODS,17A_NR,,Total element - K (%) - Not recorded,FLOAT,
LAB_METHODS,17A1,,Total Potassium - X-ray fluorescence,FLOAT,
LAB_METHODS,17A1_K,,Total Potassium - X-ray fluorescence,FLOAT,
LAB_METHODS,17A1_K_MQ0,,Total potassium - MIR QLD Calibration 1,FLOAT,
LAB_METHODS,17A2_Cu,,Total element - Cu(mg/kg) - HF/HClO4 Digest,FLOAT,
LAB_METHODS,17A2_Fe,,Total element - Fe(%) - HF/HClO4 Digest,FLOAT,
LAB_METHODS,17A2_K,,"Total Potassium - microwave assisted digestion, determination by AAS",FLOAT,
LAB_METHODS,17A2_Mn,,Total element - Mn(mg/kg) - HF/HClO4 Digest,FLOAT,
LAB_METHODS,17A2_Zn,,Total element - Zn(mg/kg) - HF/HClO4 Digest,FLOAT,
LAB_METHODS,17B1,,"0.01M CaCl2 extractable K, ICP",FLOAT,
LAB_METHODS,17B1_K,,"Psuedo-total Potassium - reverse aqua regia block digestion, determination by AAS",FLOAT,
LAB_METHODS,17B2_Al,,Aluminium,FLOAT,
LAB_METHODS,17B2_As,,Arsenic,FLOAT,
LAB_METHODS,17B2_Ca,,Calcium,FLOAT,
LAB_METHODS,17B2_Co,,Cobalt,FLOAT,
LAB_METHODS,17B2_Cr,,Chromium,FLOAT,
LAB_METHODS,17B2_Cu,,Copper,FLOAT,
LAB_METHODS,17B2_Fe,,Iron,FLOAT,
LAB_METHODS,17B2_K,,"Psuedo-total Potassium - reverse aqua regia digestion, determination by atomic spectrometry",FLOAT,
LAB_METHODS,17B2_Mg,,Magnesium,FLOAT,
LAB_METHODS,17B2_Mn,,Manganese,FLOAT,
LAB_METHODS,17B2_Mo,,Molybdenum,FLOAT,
LAB_METHODS,17B2_Na,,Sodium,FLOAT,
LAB_METHODS,17B2_Ni,,Nickel,FLOAT,
LAB_METHODS,17B2_P,,Phosphorus,FLOAT,
LAB_METHODS,17B2_Pb,,Lead,FLOAT,
LAB_METHODS,17B2_S,,Sulphur,FLOAT,
LAB_METHODS,17B2_Zn,,Zinc,FLOAT,
LAB_METHODS,17C1_K,,"Psuedo-total Potassium - conventional aqua regia block digestion, determination by atomic spectrometry",FLOAT,
LAB_METHODS,17X1_Al,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_As,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Ca,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Co,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Cr,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Cu,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Fe,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_K,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Mg,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Mn,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Mo,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Na,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Ni,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_P,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Pb,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_S,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17X1_Zn,,Soil: Elements; HNO3+HClO4+H2O2 microwave; ICP,FLOAT,
LAB_METHODS,17Z1,,Total P,FLOAT,
LAB_METHODS,18_NR,,,FLOAT,
LAB_METHODS,18A1,,Bicarbonate-extractable potassium,FLOAT,
LAB_METHODS,18A1_NR,,,FLOAT,
LAB_METHODS,18B1,,Hydrochloric acid - extractable potassium,FLOAT,
LAB_METHODS,18B2,,Sulfuric acid (10%)- extractable potassium,FLOAT,
LAB_METHODS,18C1,,Boiling 1 M nitric acid  - extractable potassium,FLOAT,
LAB_METHODS,18D1,,0.1 M calcium chloride - extractable Cadmium,FLOAT,
LAB_METHODS,1.80E+02,,0.01 M calcium chloride - extractable Cadmium,FLOAT,
LAB_METHODS,1.80E+03,,Fluoride-extractable potassium (Bray 1-K) - AAS,FLOAT,
LAB_METHODS,18F1_AL,,Mehlich 3 - extractable Aluminium,FLOAT,
LAB_METHODS,18F1_B,,Mehlich 3 - extractable Boron,FLOAT,
LAB_METHODS,18F1_CA,,Mehlich 3 - extractable Calcium,FLOAT,
LAB_METHODS,18F1_Cd,,Cadmium,FLOAT,
LAB_METHODS,18F1_CU,,Mehlich 3 - extractable Copper,FLOAT,
LAB_METHODS,18F1_FE,,Mehlich 3 - extractable Iron,FLOAT,
LAB_METHODS,18F1_K,,Mehlich 3 - extractable Potassium,FLOAT,
LAB_METHODS,18F1_MG,,Mehlich 3 - extractable Magnesium,FLOAT,
LAB_METHODS,18F1_MN,,Mehlich 3 - extractable Manganese,FLOAT,
LAB_METHODS,18F1_NA,,Mehlich 3 - extractable Sodium,FLOAT,
LAB_METHODS,18F1_P,,Mehlich 3 - extractable Phosporus,FLOAT,
LAB_METHODS,18F1_S,,Mehlich 3 - extractable Sulfur,FLOAT,
LAB_METHODS,18F1_ZN,,Mehlich 3 - extractable Zinc,FLOAT,
LAB_METHODS,18F2,,Mehlich 3 - extractable Potassium - colour finish,FLOAT,
LAB_METHODS,18G1,,Reserve soil K+ by copper-modified sodium tetraphenylboron extraction,FLOAT,
LAB_METHODS,19_COL,,Carbonates - Collins Calcimeter,FLOAT,
LAB_METHODS,19A1,,Carbonates - rapid titration,FLOAT,
LAB_METHODS,19A2,,Acid Neutralizing Capacity - 0.1 M HCl digest & back titration,FLOAT,
LAB_METHODS,19B_NR,,Calcium Carbonate (CaCO3) - Not recorded,FLOAT,
LAB_METHODS,19B1,,Carbonates - manometric,FLOAT,
LAB_METHODS,19B2,,Carbonates - transducer,FLOAT,
LAB_METHODS,19C1,,Spot field test for the presence of soil carbonates with dilute HCl,FLOAT,
LAB_METHODS,19D1,,Field test for soil carbonates with dilute HCl and effervescence class assessment,FLOAT,
LAB_METHODS,1A1,,Field sampling - soil and land use surveys,FLOAT,
LAB_METHODS,1A2,,Field sampling - diagnositc,FLOAT,
LAB_METHODS,1B1,,Laboratory preperation,FLOAT,
LAB_METHODS,1X1_Al,,Total Al XRF,FLOAT,
LAB_METHODS,1X1_As,,Total As XRF,FLOAT,
LAB_METHODS,1X1_Ba,,Total Ba XRF,FLOAT,
LAB_METHODS,1X1_Br,,Total Br XRF,FLOAT,
LAB_METHODS,1X1_Ca,,Total Ca XRF,FLOAT,
LAB_METHODS,1X1_Cd,,Total Cd XRF,FLOAT,
LAB_METHODS,1X1_Co,,Total Co XRF,FLOAT,
LAB_METHODS,1X1_Cr,,Total Cr XRF,FLOAT,
LAB_METHODS,1X1_Cu,,Total Cu XRF,FLOAT,
LAB_METHODS,1X1_Fe,,Total Fe XRF,FLOAT,
LAB_METHODS,1X1_Hg,,Total Hg XRF,FLOAT,
LAB_METHODS,1X1_Mg,,Total Mg XRF,FLOAT,
LAB_METHODS,1X1_Mn,,Total Mn XRF,FLOAT,
LAB_METHODS,1X1_Na,,Total Na XRF,FLOAT,
LAB_METHODS,1X1_Ni,,Total Ni XRF,FLOAT,
LAB_METHODS,1X1_Pb,,Total Pb XRF,FLOAT,
LAB_METHODS,1X1_Si,,Total Si XRF,FLOAT,
LAB_METHODS,1X1_Sr,,Total Sr XRF,FLOAT,
LAB_METHODS,1X1_Ti,,Total Ti XRF,FLOAT,
LAB_METHODS,1X1_V,,Total V XRF,FLOAT,
LAB_METHODS,1X1_Zn,,Total Zn XRF,FLOAT,
LAB_METHODS,2_LOI,,Loss on Ignition (%),FLOAT,
LAB_METHODS,20A1,,Chromium reducible S,FLOAT,
LAB_METHODS,20A2,,Total Sulfur - Leco,FLOAT,
LAB_METHODS,20A3,,"Total Sulfur - Combustion, titration end point",FLOAT,
LAB_METHODS,20A4,,"Total Sulfur - Combustion, dry ashing NaCO3, AgBr",FLOAT,
LAB_METHODS,20A5,,Total Sulfur - Alkaline Na hypobromite oxidation + reduction hydroiodic acid reduction,FLOAT,
LAB_METHODS,20A6,,"Total Sulfur - Acid oxidation using nitric, perchloric, phosphoric, hydrochloric acids",FLOAT,
LAB_METHODS,20A7,,Total Sulfur - Bromine-Nitric Acid oxidation (Vogel's quantitative inorganic analysis),FLOAT,
LAB_METHODS,20A9,,Total Sulfur - Summation from procedure 20D,FLOAT,
LAB_METHODS,20B1,,SPOCAS acid trail - titratable actual acidity (TAA),FLOAT,
LAB_METHODS,20Ba,,"4M HCl extractable Sulfur - sulfate, turbidmetric",FLOAT,
LAB_METHODS,20Bb,,"4M HCl extractable Sulfur - sulfate, gravimetric",FLOAT,
LAB_METHODS,20Bc,,"4M HCl extractable Sulfur - sulfate, automated colour",FLOAT,
LAB_METHODS,20Bd,,"4M HCl extractable Sulfur - sulfate, ion chromatography",FLOAT,
LAB_METHODS,20Be,,"4M HCl extractable Sulfur - sulfur, ICPAES",FLOAT,
LAB_METHODS,20Bf,,"4M HCl extractable Sulfur - sulfate, automated turbidmetric",FLOAT,
LAB_METHODS,20Bg,,"4M HCl extractable Sulfur - sulfate, indirect, barium remaining by AAS",FLOAT,
LAB_METHODS,20Bh,,"4M HCl extractable calcium, ICPAES",FLOAT,
LAB_METHODS,20Bj,,"4M HCl extractable calcium, atomic absorption (AAS)",FLOAT,
LAB_METHODS,20Bk,,"4M HCl extractable calcium, titration EDTA",FLOAT,
LAB_METHODS,20Bm,,"4M HCl extractable magnesium, ICPAES",FLOAT,
LAB_METHODS,20Bn,,"4M HCl extractable magnesium, atomic absorption (AAS)",FLOAT,
LAB_METHODS,20Bp,,"4M HCl extractable magnesium, titration EDTA",FLOAT,
LAB_METHODS,20Bs,,"4M HCl extractable sodium, ICPAES",FLOAT,
LAB_METHODS,20Bt,,"4M HCl extractable sodium, atomic absorption (AAS)",FLOAT,
LAB_METHODS,20Bu,,"4M HCl extractable sodium, flame emission",FLOAT,
LAB_METHODS,20Bv,,"4M HCl extractable potassium, ICPAES",FLOAT,
LAB_METHODS,20Bw,,"4M HCl extractable potassium, atomic absorption (AAS)",FLOAT,
LAB_METHODS,20Bx,,"4M HCl extractable potassium, flame emission",FLOAT,
LAB_METHODS,20C1_ANC,,SPOCAS acid trail - Net Acid Neutralising Capacity (ANC),FLOAT,
LAB_METHODS,20C1_TPA,,SPOCAS acid trail - titratable peroxide acidity (TPA),FLOAT,
LAB_METHODS,20C1a,,"Total Oxidisable Sulfur by XRF and turbidmetric, SO4",FLOAT,
LAB_METHODS,20C1b,,"Total Oxidisable Sulfur by XRF and Gravimetric, SO4",FLOAT,
LAB_METHODS,20C1c,,"Total Oxidisable Sulfur by XRF and Auto colour, SO4",FLOAT,
LAB_METHODS,20C1d,,"Total Oxidisable Sulfur by XRF and Ion chromo, SO4",FLOAT,
LAB_METHODS,20C1e,,"Total Oxidisable Sulfur by XRF and ICPAES, S",FLOAT,
LAB_METHODS,20C1f,,"Total Oxidisable Sulfur by XRF and Auto turbidmetric, SO4",FLOAT,
LAB_METHODS,20C1g,,"Total Oxidisable Sulfur by XRF and Indirect Ba by AAS, SO4",FLOAT,
LAB_METHODS,20C2a,,"Total Oxidisable Sulfur by Leco and turbidmetric, SO4",FLOAT,
LAB_METHODS,20C2b,,"Total Oxidisable Sulfur by Leco and Gravimetric, SO4",FLOAT,
LAB_METHODS,20C2c,,"Total Oxidisable Sulfur by Leco and Auto colour, SO4",FLOAT,
LAB_METHODS,20C2d,,"Total Oxidisable Sulfur by Leco and Ion chromo, SO4",FLOAT,
LAB_METHODS,20C2e,,"Total Oxidisable Sulfur by Leco and ICPAES, S",FLOAT,
LAB_METHODS,20C2f,,"Total Oxidisable Sulfur by Leco and Auto turbidmetric, SO4",FLOAT,
LAB_METHODS,20C2g,,"Total Oxidisable Sulfur by Leco and Indirect Ba by AAS, SO4",FLOAT,
LAB_METHODS,20C3a,,"Total Oxidisable Sulfur by Combustion, titration and turbidmetric, SO4",FLOAT,
LAB_METHODS,20C3b,,"Total Oxidisable Sulfur by Combustion, titration and Gravimetric, SO4",FLOAT,
LAB_METHODS,20C3c,,"Total Oxidisable Sulfur by Combustion, titration and Auto colour, SO4",FLOAT,
LAB_METHODS,20C3d,,"Total Oxidisable Sulfur by Combustion, titration and Ion chromo, SO4",FLOAT,
LAB_METHODS,20C3e,,"Total Oxidisable Sulfur by Combustion, titration and ICPAES, S",FLOAT,
LAB_METHODS,20C3f,,"Total Oxidisable Sulfur by Combustion, titration and Auto turbidmetric, SO4",FLOAT,
LAB_METHODS,20C3g,,"Total Oxidisable Sulfur by Combustion, titration and Indirect Ba by AAS, SO4",FLOAT,
LAB_METHODS,20C4a,,"Total Oxidisable Sulfur by Combustion, dry ashing and turbidmetric, SO4",FLOAT,
LAB_METHODS,20C4b,,"Total Oxidisable Sulfur by Combustion, dry ashing and Gravimetric, SO4",FLOAT,
LAB_METHODS,20C4c,,"Total Oxidisable Sulfur by Combustion, dry ashing and Auto colour, SO4",FLOAT,
LAB_METHODS,20C4d,,"Total Oxidisable Sulfur by Combustion, dry ashing and Ion chromo, SO4",FLOAT,
LAB_METHODS,20C4e,,"Total Oxidisable Sulfur by Combustion, dry ashing and ICPAES, S",FLOAT,
LAB_METHODS,20C4f,,"Total Oxidisable Sulfur by Combustion, dry ashing and Auto turbidmetric, SO4",FLOAT,
LAB_METHODS,20C4g,,"Total Oxidisable Sulfur by Combustion, dry ashing and Indirect Ba by AAS, SO4",FLOAT,
LAB_METHODS,20C5a,,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and turbidmetric, SO4",FLOAT,
LAB_METHODS,20C5b,,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Gravimetric, SO4",FLOAT,
LAB_METHODS,20C5c,,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Auto colour, SO4",FLOAT,
LAB_METHODS,20C5d,,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Ion chromo, SO4",FLOAT,
LAB_METHODS,20C5e,,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and ICPAES, S",FLOAT,
LAB_METHODS,20C5f,,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Auto turbidmetric, SO4",FLOAT,
LAB_METHODS,20C5g,,"Total Oxidisable Sulfur by Alkaline Na ox + HI red and Indirect Ba by AAS, SO4",FLOAT,
LAB_METHODS,20C6a,,"Total Oxidisable Sulfur by Acid ox and turbidmetric, SO4",FLOAT,
LAB_METHODS,20C6b,,"Total Oxidisable Sulfur by Acid ox and Gravimetric, SO4",FLOAT,
LAB_METHODS,20C6c,,"Total Oxidisable Sulfur by Acid ox and Auto colour, SO4",FLOAT,
LAB_METHODS,20C6d,,"Total Oxidisable Sulfur by Acid ox and Ion chromo, SO4",FLOAT,
LAB_METHODS,20C6e,,"Total Oxidisable Sulfur by Acid ox and ICPAES, S",FLOAT,
LAB_METHODS,20C6f,,"Total Oxidisable Sulfur by Acid ox and Auto turbidmetric, SO4",FLOAT,
LAB_METHODS,20C6g,,"Total Oxidisable Sulfur by Acid ox and Indirect Ba by AAS, SO4",FLOAT,
LAB_METHODS,20C7a,,"Total Oxidisable Sulfur by Br-Nitric ox and turbidmetric, SO4",FLOAT,
LAB_METHODS,20C7b,,"Total Oxidisable Sulfur by Br-Nitric ox and Gravimetric, SO4",FLOAT,
LAB_METHODS,20C7c,,"Total Oxidisable Sulfur by Br-Nitric ox and Auto colour, SO4",FLOAT,
LAB_METHODS,20C7d,,"Total Oxidisable Sulfur by Br-Nitric ox and Ion chromo, SO4",FLOAT,
LAB_METHODS,20C7e,,"Total Oxidisable Sulfur by Br-Nitric ox and ICPAES, S",FLOAT,
LAB_METHODS,20C7f,,"Total Oxidisable Sulfur by Br-Nitric ox and Auto turbidmetric, SO4",FLOAT,
LAB_METHODS,20C7g,,"Total Oxidisable Sulfur by Br-Nitric ox and Indirect Ba by AAS, SO4",FLOAT,
LAB_METHODS,20D1,,Total oxidisable sulfur prewash 4M HCl and H2O - XRF,FLOAT,
LAB_METHODS,20D1_CA,,1 M KCl - extractable Ca,FLOAT,
LAB_METHODS,20D1_MG,,1 M KCl - extractable Mg,FLOAT,
LAB_METHODS,20D1_S,,1 M KCl - extractable S,FLOAT,
LAB_METHODS,20D2,,Total oxidisable sulfur prewash 4M HCl and H2O - Leco,FLOAT,
LAB_METHODS,20D3,,"Total oxidisable sulfur prewash 4M HCl and H2O - Combustion, titration end point",FLOAT,
LAB_METHODS,20D4,,"Total oxidisable sulfur prewash 4M HCl and H2O - Combustion, dry ashing NaCO3, AgBr",FLOAT,
LAB_METHODS,20D5,,Total oxidisable sulfur prewash 4M HCl and H2O - Alkaline Na hypobromite oxidation + reduction hydroiodic acid reduction,FLOAT,
LAB_METHODS,20D6,,"Total oxidisable sulfur prewash 4M HCl and H2O - Acid oxidation using nitric, perchloric, phosphoric, hydrochloric acids",FLOAT,
LAB_METHODS,20E1_CA,,1 M KCl - extractable Ca after peroxide oxidation,FLOAT,
LAB_METHODS,20E1_MG,,1 M KCl - extractable Mg after peroxide oxidation,FLOAT,
LAB_METHODS,20E1_S,,1 M KCl - extractable S after peroxide oxidation,FLOAT,
LAB_METHODS,20F1,,"Sulfur - 4 M HCl extraction, ICPAES",FLOAT,
LAB_METHODS,20F2,,"Sulfur - 4 M HCl extraction, ion chromatography",FLOAT,
LAB_METHODS,20G1,,Peroxide residual acid soluble sulfur,FLOAT,
LAB_METHODS,20H1,,Acid neutralising capacity - acid reacted and back titration,FLOAT,
LAB_METHODS,20I1,,Acid neutralising capacity - from SPOCAS,FLOAT,
LAB_METHODS,20J,,S nas,FLOAT,
LAB_METHODS,20J1_RQNC,,Field approximation of ASS hazard,FLOAT,
LAB_METHODS,20J1_TAA,,Field approximation of ASS hazard,FLOAT,
LAB_METHODS,20J1_TSA,,Field approximation of ASS hazard,FLOAT,
LAB_METHODS,20K1,,Quick field approximation of ASS presence and associated lime reqirement for drain spoil,FLOAT,
LAB_METHODS,21A,,"pH of filtered 1:20 1M KCl extract, overnight shake (TAA)",FLOAT,
LAB_METHODS,21Af,,pH done in field on saturated soil sample using pH probe,FLOAT,
LAB_METHODS,21B,,pH of filtered 1:20 1M KCl after peroxide digestion,FLOAT,
LAB_METHODS,21Bf,,pH done in field of 30% peroxide reaction,FLOAT,
LAB_METHODS,21C,,KCl extractable S,FLOAT,
LAB_METHODS,21Ca,,"KCL extractable S - sulfate, turbidmetric",FLOAT,
LAB_METHODS,21Cb,,"KCL extractable S - sulfate, gravimetric",FLOAT,
LAB_METHODS,21Cc,,"KCL extractable S - sulfate, automated colour",FLOAT,
LAB_METHODS,21Cd,,"KCL extractable S - sulfate, ion chromatography",FLOAT,
LAB_METHODS,21Ce,,"KCL extractable S - sulfur, ICPAES",FLOAT,
LAB_METHODS,21Cf,,"KCL extractable S - sulfate, automated turbidmetric",FLOAT,
LAB_METHODS,21Cg,,"KCL extractable S - sulfate, indirect, barium remaining by AAS",FLOAT,
LAB_METHODS,21Ch,,"KCL extractable S - calcium, ICPAES",FLOAT,
LAB_METHODS,21Cj,,"KCL extractable S - calcium, atomic absorption (AAS)",FLOAT,
LAB_METHODS,21Ck,,"KCL extractable S - calcium, titration EDTA",FLOAT,
LAB_METHODS,21Cm,,"KCL extractable S - magnesium, ICPAES",FLOAT,
LAB_METHODS,21Cn,,"KCL extractable S - magnesium, atomic absorption (AAS)",FLOAT,
LAB_METHODS,21Cp,,"KCL extractable S - magnesium, titration EDTA",FLOAT,
LAB_METHODS,21Cs,,"KCL extractable S - sodium, ICPAES",FLOAT,
LAB_METHODS,21Ct,,"KCL extractable S - sodium, atomic absorption (AAS)",FLOAT,
LAB_METHODS,21Cu,,"KCL extractable S - sodium, flame emission",FLOAT,
LAB_METHODS,21D,,Peroxide sulfur after peroxide digestion,FLOAT,
LAB_METHODS,21Da,,"KCl Extractable sulfur after ox - sulfate, turbidmetric",FLOAT,
LAB_METHODS,21Db,,"KCl Extractable sulfur after ox - sulfate, gravimetric",FLOAT,
LAB_METHODS,21Dc,,"KCl Extractable sulfur after ox - sulfate, automated colour",FLOAT,
